Country,Region,HappinessRank,HappinessScore,Economy,Freedom,Generosity,Health,PerceptionOfCorruption,SocialSupport,DystopiaResidual
Jamaica,Latin America and Caribbean,56,5.89,0.831,0.49,0.107,0.831,0.028,1.478,2.125
Mauritius,Sub-Saharan Africa,57,5.888,1.12,0.498,0.215,0.798,0.06,1.402,1.795
Japan,Eastern Asia,58,5.886,1.327,0.445,0.069,1.088,0.14,1.419,1.398
Honduras,Latin America and Caribbean,59,5.86,0.642,0.507,0.246,0.828,0.078,1.236,2.323
Kazakhstan,Central and Eastern Europe,60,5.809,1.173,0.41,0.146,0.729,0.096,1.508,1.747
Bolivia,Latin America and Caribbean,61,5.779,0.776,0.511,0.137,0.706,0.064,1.209,2.376
Hungary,Central and Eastern Europe,62,5.758,1.201,0.199,0.081,0.828,0.02,1.41,2.019
Paraguay,Latin America and Caribbean,63,5.743,0.855,0.514,0.184,0.777,0.08,1.475,1.858
Northern Cyprus,Western Europe,64,5.718,1.263,0.417,0.191,1.042,0.162,1.252,1.391
Peru,Latin America and Caribbean,65,5.697,0.96,0.455,0.083,0.854,0.027,1.274,2.044
Portugal,Western Europe,66,5.693,1.221,0.508,0.047,0.999,0.025,1.431,1.462
Pakistan,Southern Asia,67,5.653,0.677,0.313,0.22,0.535,0.098,0.886,2.924
Russia,Central and Eastern Europe,68,5.648,1.183,0.334,0.082,0.726,0.031,1.452,1.84
Philippines,Southeastern Asia,69,5.631,0.807,0.558,0.117,0.657,0.107,1.293,2.092
Serbia,Central and Eastern Europe,70,5.603,1.004,0.282,0.137,0.854,0.039,1.383,1.904
Moldova,Central and Eastern Europe,71,5.529,0.685,0.245,0.181,0.739,0,1.328,2.351
Libya,Middle East and Northern Africa,72,5.525,1.044,0.416,0.133,0.673,0.152,1.303,1.804
Montenegro,Central and Eastern Europe,73,5.523,1.051,0.197,0.142,0.871,0.08,1.361,1.821
Tajikistan,Central and Eastern Europe,74,5.467,0.493,0.389,0.23,0.718,0.144,1.098,2.395
Croatia,Central and Eastern Europe,75,5.432,1.155,0.296,0.119,0.914,0.022,1.266,1.66
Hong Kong,Eastern Asia,76,5.43,1.438,0.44,0.258,1.122,0.287,1.277,0.608
Dominican Republic,Latin America and Caribbean,77,5.425,1.015,0.497,0.113,0.779,0.101,1.401,1.519
Bosnia and Herzegovina,Central and Eastern Europe,78,5.386,0.945,0.212,0.263,0.845,0.006,1.212,1.903
Turkey,Middle East and Northern Africa,79,5.373,1.183,0.195,0.083,0.808,0.106,1.36,1.638
Malaysia,Southeastern Asia,80,5.339,1.221,0.508,0.26,0.828,0.024,1.171,1.327
Belarus,Central and Eastern Europe,81,5.323,1.067,0.235,0.094,0.789,0.142,1.465,1.531
Greece,Western Europe,82,5.287,1.181,0.067,0,0.999,0.034,1.156,1.85
Mongolia,Eastern Asia,83,5.285,0.948,0.317,0.235,0.667,0.038,1.531,1.549
North Macedonia,Central and Eastern Europe,84,5.274,0.983,0.345,0.185,0.838,0.034,1.294,1.595
Nigeria,Sub-Saharan Africa,85,5.265,0.696,0.426,0.215,0.245,0.041,1.111,2.531
Kyrgyzstan,Central and Eastern Europe,86,5.261,0.551,0.508,0.3,0.723,0.023,1.438,1.718
Turkmenistan,Central and Eastern Europe,87,5.247,1.052,0.394,0.244,0.657,0.028,1.538,1.334
Algeria,Middle East and Northern Africa,88,5.211,1.002,0.086,0.073,0.785,0.114,1.16,1.991
Morocco,Middle East and Northern Africa,89,5.208,0.801,0.418,0.036,0.782,0.076,0.782,2.313
Azerbaijan,Central and Eastern Europe,90,5.208,1.043,0.351,0.035,0.769,0.182,1.147,1.681
Lebanon,Middle East and Northern Africa,91,5.197,0.987,0.216,0.166,0.815,0.027,1.224,1.762
Indonesia,Southeastern Asia,92,5.192,0.931,0.491,0.498,0.66,0.028,1.203,1.381
China,Eastern Asia,93,5.191,1.029,0.521,0.058,0.893,0.1,1.125,1.465
Vietnam,Southeastern Asia,94,5.175,0.741,0.543,0.147,0.851,0.073,1.346,1.474
Bhutan,Southern Asia,95,5.082,0.813,0.457,0.37,0.604,0.167,1.321,1.35
Cameroon,Sub-Saharan Africa,96,5.044,0.549,0.381,0.187,0.331,0.037,0.91,2.649
Bulgaria,Central and Eastern Europe,97,5.011,1.092,0.311,0.081,0.815,0.004,1.513,1.195
Ghana,Sub-Saharan Africa,98,4.996,0.611,0.381,0.245,0.486,0.04,0.868,2.365
Ivory Coast,Sub-Saharan Africa,99,4.944,0.569,0.352,0.154,0.232,0.09,0.808,2.739
Nepal,Southern Asia,100,4.913,0.446,0.439,0.285,0.677,0.089,1.226,1.751
Jordan,Middle East and Northern Africa,101,4.906,0.837,0.383,0.11,0.815,0.13,1.225,1.406
Benin,Sub-Saharan Africa,102,4.883,0.393,0.349,0.175,0.397,0.082,0.437,3.05
Congo (Brazzaville),Sub-Saharan Africa,103,4.812,0.673,0.372,0.105,0.508,0.093,0.799,2.262
Gabon,Sub-Saharan Africa,104,4.799,1.057,0.295,0.043,0.571,0.055,1.183,1.595
Laos,Southeastern Asia,105,4.796,0.764,0.547,0.266,0.551,0.164,1.03,1.474
South Africa,Sub-Saharan Africa,106,4.722,0.96,0.389,0.13,0.469,0.055,1.351,1.368
Albania,Central and Eastern Europe,107,4.719,0.947,0.383,0.178,0.874,0.027,0.848,1.462
Venezuela,Latin America and Caribbean,108,4.707,0.96,0.154,0.064,0.805,0.047,1.427,1.25
Cambodia,Southeastern Asia,109,4.7,0.574,0.609,0.232,0.637,0.062,1.122,1.464
Palestinian Territories,Middle East and Northern Africa,110,4.696,0.657,0.225,0.103,0.672,0.066,1.247,1.726
Senegal,Sub-Saharan Africa,111,4.681,0.45,0.292,0.153,0.571,0.072,1.134,2.009
Somalia,Sub-Saharan Africa,112,4.668,0,0.559,0.243,0.268,0.27,0.698,2.63
Namibia,Sub-Saharan Africa,113,4.639,0.879,0.401,0.07,0.477,0.056,1.313,1.443
Niger,Sub-Saharan Africa,114,4.628,0.138,0.318,0.188,0.366,0.102,0.774,2.742
Burkina Faso,Sub-Saharan Africa,115,4.587,0.331,0.255,0.177,0.38,0.113,1.056,2.275
Armenia,Central and Eastern Europe,116,4.559,0.85,0.283,0.095,0.815,0.064,1.055,1.397
Iran,Middle East and Northern Africa,117,4.548,1.1,0.305,0.27,0.785,0.125,0.842,1.121
Guinea,Sub-Saharan Africa,118,4.534,0.38,0.332,0.207,0.375,0.086,0.829,2.325
Georgia,Central and Eastern Europe,119,4.519,0.886,0.346,0.043,0.752,0.164,0.666,1.662
Gambia,Sub-Saharan Africa,120,4.516,0.308,0.382,0.269,0.428,0.167,0.939,2.023
Kenya,Sub-Saharan Africa,121,4.509,0.512,0.431,0.372,0.581,0.053,0.983,1.577
Mauritania,Sub-Saharan Africa,122,4.49,0.57,0.066,0.106,0.489,0.088,1.167,2.004
Mozambique,Sub-Saharan Africa,123,4.466,0.204,0.494,0.197,0.39,0.138,0.986,2.057
Tunisia,Middle East and Northern Africa,124,4.461,0.921,0.167,0.059,0.815,0.055,1,1.444
Bangladesh,Southern Asia,125,4.456,0.562,0.527,0.166,0.723,0.143,0.928,1.407
Iraq,Middle East and Northern Africa,126,4.437,1.043,0.241,0.148,0.574,0.089,0.98,1.362
Congo (Kinshasa),Sub-Saharan Africa,127,4.418,0.094,0.269,0.212,0.357,0.053,1.125,2.308
Mali,Sub-Saharan Africa,128,4.39,0.385,0.327,0.153,0.308,0.052,1.105,2.06
Sierra Leone,Sub-Saharan Africa,129,4.374,0.268,0.309,0.252,0.242,0.045,0.841,2.417
Sri Lanka,Southern Asia,130,4.366,0.949,0.47,0.244,0.831,0.047,1.265,0.56
Myanmar,Southeastern Asia,131,4.36,0.71,0.525,0.566,0.555,0.172,1.181,0.651
Chad,Sub-Saharan Africa,132,4.35,0.35,0.174,0.198,0.192,0.078,0.766,2.592
Ukraine,Central and Eastern Europe,133,4.332,0.82,0.178,0.187,0.739,0.01,1.39,1.008
Ethiopia,Sub-Saharan Africa,134,4.286,0.336,0.344,0.209,0.532,0.1,1.033,1.732
Swaziland,Sub-Saharan Africa,135,4.212,0.811,0.313,0.074,0,0.135,1.149,1.73
Uganda,Sub-Saharan Africa,136,4.189,0.332,0.356,0.252,0.443,0.06,1.069,1.677
Egypt,Middle East and Northern Africa,137,4.166,0.913,0.241,0.076,0.644,0.067,1.039,1.186
Zambia,Sub-Saharan Africa,138,4.107,0.578,0.431,0.247,0.426,0.087,1.058,1.28
Togo,Sub-Saharan Africa,139,4.085,0.275,0.293,0.177,0.41,0.085,0.572,2.273
India,Southern Asia,140,4.015,0.755,0.498,0.2,0.588,0.085,0.765,1.124
Liberia,Sub-Saharan Africa,141,3.975,0.073,0.37,0.233,0.443,0.033,0.922,1.901
Comoros,Sub-Saharan Africa,142,3.973,0.274,0.142,0.275,0.505,0.078,0.757,1.942
Madagascar,Sub-Saharan Africa,143,3.933,0.274,0.148,0.169,0.555,0.041,0.916,1.83
Lesotho,Sub-Saharan Africa,144,3.802,0.489,0.359,0.107,0.168,0.093,1.169,1.417
Burundi,Sub-Saharan Africa,145,3.775,0.046,0.22,0.176,0.38,0.18,0.447,2.326
Zimbabwe,Sub-Saharan Africa,146,3.663,0.366,0.361,0.151,0.433,0.089,1.114,1.149
Haiti,Latin America and Caribbean,147,3.597,0.323,0.026,0.419,0.449,0.11,0.688,1.582
Botswana,Sub-Saharan Africa,148,3.488,1.041,0.455,0.025,0.538,0.1,1.145,0.184
Syria,Middle East and Northern Africa,149,3.462,0.619,0.013,0.331,0.44,0.141,0.378,1.54
Malawi,Sub-Saharan Africa,150,3.41,0.191,0.443,0.218,0.495,0.089,0.56,1.414
Yemen,Middle East and Northern Africa,151,3.38,0.287,0.143,0.108,0.463,0.077,1.163,1.139
Rwanda,Sub-Saharan Africa,152,3.334,0.359,0.555,0.217,0.614,0.411,0.711,0.467
Tanzania,Sub-Saharan Africa,153,3.231,0.476,0.417,0.276,0.499,0.147,0.885,0.531
Afghanistan,Southern Asia,154,3.203,0.35,0,0.158,0.361,0.025,0.517,1.792
Central African Republic,Sub-Saharan Africa,155,3.083,0.026,0.225,0.235,0.105,0.035,0,2.457
South Sudan,Sub-Saharan Africa,156,2.853,0.306,0.01,0.202,0.295,0.091,0.575,1.374
